Date,Open,High,Low,Close,Adj Close,Volume
2015-02-19,91.754242,91.778496,89.490700,89.943413,69.785240,1142122
2015-02-20,89.668556,91.107521,89.474533,90.937752,70.556702,1248133
2015-02-23,91.285370,91.584480,90.485046,91.479385,70.976952,671444
2015-02-24,91.083267,91.584480,89.256264,89.773643,69.653496,1029555
2015-02-25,89.733223,90.557800,89.102669,89.288605,69.277161,1120969
2015-02-26,89.102669,89.240097,88.261925,88.423607,68.606026,799473
2015-02-27,88.577202,89.377525,88.043655,88.957153,69.019989,1035988
2015-03-02,89.191589,90.396118,88.932899,89.717056,69.609589,698658
2015-03-03,89.498787,90.024254,88.666130,89.458366,69.408867,711275
2015-03-04,89.296684,89.434113,87.679871,87.857719,68.166962,989847
2015-03-05,88.407440,89.094582,88.067909,88.253838,68.474304,1271883
2015-03-06,86.879547,86.879547,84.502831,84.616005,65.651787,1604760
2015-03-09,85.189980,85.763947,84.801941,85.117218,66.040665,1077427
2015-03-10,85.036377,85.424416,84.430077,84.446243,65.520081,1198900
2015-03-11,84.236053,85.020210,84.163300,84.543251,65.595345,1152018
2015-03-12,84.955536,86.103477,84.907036,85.885208,66.636543,1123443
2015-03-13,85.901375,85.974129,84.995956,85.497169,66.335457,1000115
2015-03-16,85.763947,86.653191,85.424416,86.224739,66.899963,1029679
2015-03-17,86.006470,86.677444,85.731606,86.410667,67.044243,933193
2015-03-18,86.289413,88.512527,85.844788,88.027489,68.298691,827553
2015-03-19,87.696037,88.658043,87.356506,88.156830,68.399040,941481
2015-03-20,88.391266,91.875504,87.898140,91.705742,71.152573,2081871
2015-03-23,91.632980,92.174614,91.026680,91.576393,71.052216,1419829
2015-03-24,91.269203,91.495552,90.767990,90.913498,70.537880,1039699
2015-03-25,91.059013,91.398544,89.126923,89.215843,69.220695,994424
2015-03-26,88.924820,89.523041,88.358932,89.143089,69.164238,995167
2015-03-27,89.046082,89.757477,88.835892,89.684723,69.584496,1108723
2015-03-30,90.072754,91.050926,89.337105,90.824577,70.468895,890393
2015-03-31,90.598221,91.050926,90.137428,90.541634,70.249359,2095107
2015-04-01,90.501213,90.501213,88.827812,89.167343,69.183067,1280542
2015-04-02,88.932899,90.501213,88.835892,89.902992,69.753860,581637
2015-04-06,90.008087,91.447052,89.951492,91.042847,70.638229,761621
2015-04-07,90.970093,90.970093,89.021828,89.021828,69.070160,884950
2015-04-08,89.013741,89.514954,88.552948,88.714630,68.831825,754570
2015-04-09,88.625710,88.658043,86.224739,86.612770,67.201027,1502955
2015-04-10,87.130157,87.873886,86.540016,86.839127,67.376656,944573
2015-04-13,86.903801,87.025063,86.628944,86.693611,67.263771,863550
2015-04-14,86.709785,88.067909,86.669357,87.558609,67.934891,867879
2015-04-15,87.485855,87.906227,86.847214,86.895714,67.420578,717089
2015-04-16,86.588524,87.607117,86.265160,87.025063,67.520927,481317
2015-04-17,86.750198,87.437347,85.933708,86.491508,67.106941,605883
2015-04-20,86.612770,87.097816,86.103477,86.329826,66.981499,454226
2015-04-21,86.523849,87.194824,86.305580,86.499596,67.113213,590668
2015-04-22,86.483429,87.154404,86.087311,86.596603,67.188499,450144
2015-04-23,86.540016,86.806793,86.022636,86.451088,67.075615,559000
2015-04-24,86.515762,87.477768,86.346001,86.871460,67.401749,556032
2015-04-27,87.113983,87.566696,86.717865,87.016975,67.514648,443712
2015-04-28,86.709785,87.154404,86.046890,86.863380,67.395477,562588
2015-04-29,86.168152,86.362167,85.028297,85.149551,66.065750,767806
2015-04-30,84.753433,84.882782,83.160873,83.662086,64.911667,954222
2015-05-01,84.236053,85.117218,83.977364,84.478577,65.545166,1025720
2015-05-04,84.680679,85.286987,84.349236,84.551331,65.601624,710657
2015-05-05,81.164108,83.128540,79.628136,81.430878,63.180511,1473267
2015-05-06,81.422798,81.608734,80.371864,80.953918,62.810459,737499
2015-05-07,81.244949,82.635406,80.953918,82.037186,63.650928,899670
2015-05-08,82.603073,83.977364,82.603073,83.177040,64.938454,758281
2015-05-11,82.845596,83.241714,81.261116,81.544060,63.663567,616521
2015-05-12,81.002426,82.101860,80.549721,81.608734,63.714046,620850
2015-05-13,81.915924,82.635406,80.590134,80.808411,63.089222,781289
2015-05-14,81.244949,82.457558,81.131767,82.360550,64.300995,621840
2015-05-15,82.659660,83.492317,82.312042,83.039612,64.831192,869611
2015-05-18,82.780922,83.055779,81.980598,82.312042,64.263153,767806
2015-05-19,82.101860,82.764755,81.778496,82.514145,64.420944,883218
2015-05-20,82.514145,83.532738,82.336296,82.918350,64.736519,840170
2015-05-21,82.966858,83.241714,82.425224,82.659660,64.534538,875301
2015-05-22,82.409058,83.419563,82.109940,82.667747,64.540855,500985
2015-05-26,82.562653,82.659660,81.568314,81.746162,63.821358,692967
2015-05-27,82.077606,82.554565,81.810837,82.392883,64.326248,654744
2015-05-28,82.603073,82.797089,81.576393,81.964432,63.991756,574834
2015-05-29,81.964432,82.336296,80.501213,80.751816,63.045033,2181944
2015-06-01,80.840744,82.045273,80.606308,81.689575,63.777176,848953
2015-06-02,81.414711,81.455132,80.436539,81.018593,63.253323,881734
2015-06-03,81.018593,81.309624,79.911072,80.331444,62.716839,938265
2015-06-04,80.331444,80.776070,79.725143,80.436539,62.798897,938388
2015-06-05,79.830231,80.169769,79.005661,79.377525,61.972088,1312828
2015-06-08,79.199677,79.571541,78.908653,79.054161,61.719635,713378
2015-06-09,78.981407,79.280518,78.520615,78.658043,61.410366,621964
2015-06-10,78.803558,80.420372,78.407440,79.426033,62.009968,962139
2015-06-11,79.717056,79.959579,79.393692,79.514954,62.079376,744427
